Table B.103 Balance Sheet of Nonfinancial Corporate Business from Z.1 Federal Accounts of the United States,,,,,,,,,,,,,,
,,Date conversions,,,Line 40/(Line 44/100) - net worth (Millions of dollars),Line 42 - corporate equities (Millions of dollars),,,MS index (Q) scaled by running geometric mean,,Expected Q,,,Federal funds rate
date,,Month,Day,Date,FL102090005.Q,LM103164103.Q,MS Index (Q),ln(Q),exp[ln(Q) - Avg(ln(Q))],MSI/GEOMEAN,,,Date,
,Q2,6,30,6/30/17,87592.9308654296,44094.9907739119,0.503408098555987,-0.686354108694819,0.73259034127981,0.73259034127981,1,,1960-04-01,3.92
,Q3,9,30,9/30/17,93986.8687792394,39607.4474650625,0.421414693132232,-0.864137910796476,0.613268508686364,0.613268508686364,1,,1960-05-01,3.85
,Q4,12,31,12/31/17,100380.806693049,33168.7983697568,0.330429685339973,-1.10736139470066,0.480861544831246,0.480861544831244,1,,1960-06-01,3.32
1918,Q1,3,31,3/31/18,105632.578064186,36611.9685657974,0.34659732098511,-1.0595916311445,0.504389679855159,0.504389679855161,1,,1960-07-01,3.23
,Q2,6,30,6/30/18,110884.349435324,37466.9183812075,0.337891853737763,-1.08502939405276,0.491720949971739,0.491720949971736,1,,1960-08-01,2.98
,Q3,9,30,9/30/18,116136.120806461,37919.5388717187,0.326509432279997,-1.11929644161709,0.475156552131784,0.475156552131784,1,,1960-09-01,2.60
,Q4,12,31,12/31/18,121387.892177598,39730.0208337637,0.327298053545869,-1.11688404449584,0.476304202167534,0.476304202167536,1,,1960-10-01,2.47
1919,Q1,3,31,3/31/19,126421.512801263,42485.641375199,0.336063383784904,-1.09045549459266,0.48906004834813,0.489060048348129,1,,1960-11-01,2.44
,Q2,6,30,6/30/19,131455.133424929,48188.7631854166,0.366579546419434,-1.00353973776957,0.533469039906085,0.533469039906087,1,,1960-12-01,1.98
,Q3,9,30,9/30/19,136488.754048594,47142.3188165693,0.345393429262203,-1.06307113701101,0.502637702779944,0.502637702779944,1,,1961-01-01,1.45
,Q4,12,31,12/31/19,141522.37467226,46671.4188505881,0.329781202150336,-1.10932586820595,0.47991783231932,0.479917832319322,1,,1961-02-01,2.54
1920,Q1,3,31,3/31/20,142640.705780009,49432.6717418766,0.346553751760842,-1.05971734464632,0.504326275247714,0.504326275247712,1,,1961-03-01,2.02
,Q2,6,30,6/30/20,143759.036887758,45156.4890652437,0.31411235107606,-1.15800455109646,0.457115559195602,0.457115559195601,1,,1961-04-01,1.49
,Q3,9,30,9/30/20,144877.367995507,44871.4102201348,0.309719943431926,-1.17208679810626,0.450723458185929,0.45072345818593,1,,1961-05-01,1.98
,Q4,12,31,12/31/20,145995.699103257,38827.7387038269,0.265951250223923,-1.32444225683128,0.387028571300721,0.38702857130072,1,,1961-06-01,1.73
1921,Q1,3,31,3/31/21,140142.634554316,39336.9580296289,0.280692297206549,-1.270496237364,0.408480647003913,0.408480647003914,1,,1961-07-01,1.17
,Q2,6,30,6/30/21,134289.570005375,37450.1562636728,0.278876135072693,-1.27698755605326,0.405837656473412,0.405837656473413,1,,1961-08-01,2.00
,Q3,9,30,9/30/21,128436.505456433,37793.2111302103,0.294255990505987,-1.22330517448998,0.428219365414986,0.428219365414986,1,,1961-09-01,1.88
,Q4,12,31,12/31/21,122583.440907492,41795.5179064807,0.340955659239667,-1.07600284170868,0.496179587654948,0.496179587654946,1,,1961-10-01,2.26
1922,Q1,3,31,3/31/22,121818.709620072,41447.2557569381,0.340237192515039,-1.07811227955493,0.495134030810505,0.495134030810503,1,,1961-11-01,2.61
,Q2,6,30,6/30/22,121053.978332651,45249.2650059595,0.373794117543304,-0.9840501209938,0.543968126307327,0.543968126307327,1,,1961-12-01,2.33
,Q3,9,30,9/30/22,120289.24704523,48515.7799945554,0.403325992857142,-0.908010128752821,0.586944722585488,0.586944722585488,1,,1962-01-01,2.15
,Q4,12,31,12/31/22,119524.51575781,47016.3960653638,0.393361945599781,-0.933025109785893,0.572444429877173,0.572444429877173,1,,1962-02-01,2.37
1923,Q1,3,31,3/31/23,122311.23562836,56482.3496041782,0.461791995755799,-0.77264071491919,0.672028035984011,0.672028035984011,1,,1962-03-01,2.85
,Q2,6,30,6/30/23,125097.95549891,49953.6368715638,0.39931617325272,-0.918001761719403,0.581109387157035,0.581109387157035,1,,1962-04-01,2.78
,Q3,9,30,9/30/23,127884.67536946,48815.6043768878,0.381715825104604,-0.963078860555128,0.555496281024143,0.555496281024143,1,,1962-05-01,2.36
,Q4,12,31,12/31/23,130671.39524001,51211.4622604161,0.391910273601607,-0.936722359265327,0.570331867747919,0.57033186774792,1,,1962-06-01,2.68
1924,Q1,3,31,3/31/24,130910.006009713,50757.3654164639,0.38772716435975,-0.947453371348964,0.564244350610446,0.564244350610446,1,,1962-07-01,2.71
,Q2,6,30,6/30/24,131148.616779417,50348.972821159,0.383907768587773,-0.957352941213021,0.558686131622508,0.558686131622509,1,,1962-08-01,2.93
,Q3,9,30,9/30/24,131387.227549121,53966.1643795737,0.410741328409549,-0.889791633889441,0.597735973696912,0.597735973696912,1,,1962-09-01,2.90
,Q4,12,31,12/31/24,131625.838318825,59275.2681185372,0.450331552494733,-0.797771184187727,0.655350096030471,0.655350096030471,1,,1962-10-01,2.90
1925,Q1,3,31,3/31/25,132599.332633877,62581.793575056,0.471961602912829,-0.750857646466608,0.686827472066229,0.686827472066229,1,,1962-11-01,2.94
,Q2,6,30,6/30/25,133572.826948929,65051.3349962084,0.48701024364095,-0.719470121950434,0.708727177053961,0.708727177053961,1,,1962-12-01,2.93
,Q3,9,30,9/30/25,134546.321263981,69327.8579450332,0.515271300573216,-0.663061719797804,0.749854400478306,0.749854400478306,1,,1963-01-01,2.92
,Q4,12,31,12/31/25,135519.815579033,75049.966115996,0.553793301705226,-0.590963763469694,0.805913979251534,0.805913979251535,1,,1963-02-01,3.00
1926,Q1,3,31,3/31/26,136086.415433449,69313.4057295278,0.509333760528247,-0.674651759190663,0.741213728029088,0.741213728029088,1,,1963-03-01,2.98
,Q2,6,30,6/30/26,136653.015287866,71074.1188301932,0.520106480493476,-0.653721718189454,0.756890850861392,0.756890850861392,1,,1963-04-01,2.90
,Q3,9,30,9/30/26,137219.615142282,78175.6616695436,0.569712002095938,-0.562624305320935,0.829079848424904,0.829079848424904,1,,1963-05-01,3.00
,Q4,12,31,12/31/26,137786.214996698,79173.399093254,0.574610450654671,-0.554062944898425,0.836208371211242,0.836208371211243,1,,1963-06-01,2.99
1927,Q1,3,31,3/31/27,137975.810685465,80013.9937167481,0.579913198692132,-0.544876844068821,0.843925255396514,0.843925255396515,1,,1963-07-01,3.02
,Q2,6,30,6/30/27,138165.406374231,85898.2239684484,0.621705723759729,-0.475288411122671,0.904744301196611,0.904744301196611,1,,1963-08-01,3.49
,Q3,9,30,9/30/27,138355.002062998,97724.3730037284,0.706330610000143,-0.347671864981439,1.0278956260749,1.0278956260749,1,,1963-09-01,3.48
,Q4,12,31,12/31/27,138544.597751764,100724.176661458,0.727016269821864,-0.318806422301696,1.05799866699113,1.05799866699113,1,,1963-10-01,3.50
1928,Q1,3,31,3/31/28,138843.382796319,105319.466070708,0.758548689534668,-0.276348290382082,1.10388657818097,1.10388657818097,1,,1963-11-01,3.48
,Q2,6,30,6/30/28,139142.167840875,109763.081899445,0.788855625887414,-0.237171958545958,1.14799109082089,1.14799109082089,1,,1963-12-01,3.38
,Q3,9,30,9/30/28,139440.95288543,122170.580642022,0.876145623749445,-0.13222296470471,1.27502084959413,1.27502084959413,1,,1964-01-01,3.48
,Q4,12,31,12/31/28,139739.737929986,133597.021344488,0.956041733894079,-0.0449537121826551,1.39129056946093,1.39129056946093,1,,1964-02-01,3.48
1929,Q1,3,31,3/31/29,140414.790649483,224903.684493542,1.60170936019816,0.471071409089728,2.33090570093031,2.33090570093031,1,,1964-03-01,3.43
,Q2,6,30,6/30/29,141089.843368981,231271.38613866,1.63917813370757,0.494194978241311,2.38543255826798,2.38543255826799,1,,1964-04-01,3.47
,Q3,9,30,9/30/29,141764.896088478,276818.140961378,1.95265646573473,0.669190735620712,2.84162545405641,2.84162545405642,1,,1964-05-01,3.50
,Q4,12,31,12/31/29,142439.948807976,189262.243341006,1.32871603033326,0.284213085217037,1.93362906341392,1.93362906341392,1,,1964-06-01,3.50
1930,Q1,3,31,3/31/30,138670.563899336,140914.613966809,1.01618259855857,0.0160530559987667,1.47881124442783,1.47881124442783,1,,1964-07-01,3.42
,Q2,6,30,6/30/30,134901.178990696,126670.112471417,0.938984473072347,-0.0629563355097931,1.36646779731536,1.36646779731536,1,,1964-08-01,3.50
,Q3,9,30,9/30/30,131131.794082056,122314.355815801,0.932758959579723,-0.0696084613738289,1.35740804824242,1.35740804824242,1,,1964-09-01,3.45
,Q4,12,31,12/31/30,127362.409173416,91294.3050386468,0.716807303121449,-0.332948228866833,1.04314195248728,1.04314195248728,1,,1964-10-01,3.36
1931,Q1,3,31,3/31/31,124051.183170896,104990.930128409,0.846351702939994,-0.166820281250049,1.23166290863833,1.23166290863833,1,,1964-11-01,3.52
,Q2,6,30,6/30/31,120739.957168377,83070.4050702243,0.688010887351725,-0.373950616534866,1.00123564204673,1.00123564204673,1,,1964-12-01,3.85
,Q3,9,30,9/30/31,117428.731165857,70852.4074968099,0.603365179827563,-0.505232660538835,0.878054016759265,0.878054016759265,1,,1965-01-01,3.90
,Q4,12,31,12/31/31,114117.505163338,50548.9703527537,0.442955445620742,-0.814286088214471,0.644615932897948,0.644615932897948,1,,1965-02-01,3.98
1932,Q1,3,31,3/31/32,111655.769955539,53408.1897735633,0.478328973010802,-0.737456555154933,0.696093659571971,0.696093659571971,1,,1965-03-01,4.05
,Q2,6,30,6/30/32,109194.034747741,30842.2597118519,0.282453705306369,-1.26424061684632,0.411043956105778,0.411043956105777,1,,1965-04-01,4.09
,Q3,9,30,9/30/32,106732.299539942,53408.1897735633,0.500393882674444,-0.69235972533532,0.728203869453702,0.728203869453702,1,,1965-05-01,4.10
,Q4,12,31,12/31/32,104270.564332144,44097.3189171552,0.42291244129731,-0.860590115931199,0.615448123679752,0.615448123679752,1,,1965-06-01,4.05
1933,Q1,3,31,3/31/33,103209.987071795,37448.9165720083,0.362841984913321,-1.01378784275835,0.528029911161093,0.528029911161095,1,,1965-07-01,4.09
,Q2,6,30,6/30/33,102149.409811446,62454.9347003477,0.611407690124016,-0.491991291711118,0.889757971025645,0.889757971025645,1,,1965-08-01,4.12
,Q3,9,30,9/30/33,101088.832551098,63597.0364898632,0.629120298305121,-0.463432787300988,0.915534444843951,0.915534444843951,1,,1965-09-01,4.02
,Q4,12,31,12/31/33,100028.255290749,59930.2886393135,0.599133599452635,-0.512270668252319,0.871895961455995,0.871895961455996,1,,1965-10-01,4.08
1934,Q1,3,31,3/31/34,99958.7244444677,64999.1009412362,0.650259407595248,-0.430383907099057,0.946297373238682,0.946297373238681,1,,1965-11-01,4.10
,Q2,6,30,6/30/34,99889.193598186,60157.4546886301,0.602241869432036,-0.507096137898692,0.876419306574063,0.876419306574064,1,,1965-12-01,4.32
,Q3,9,30,9/30/34,99819.6627519044,53742.2734039271,0.538393658346655,-0.619165279423338,0.783503473707416,0.783503473707417,1,,1966-01-01,4.42
,Q4,12,31,12/31/34,99750.1319056228,56042.055373915,0.561824373595199,-0.576565980427173,0.817601287647237,0.817601287647237,1,,1966-02-01,4.60
1935,Q1,3,31,3/31/35,100123.806507419,50154.3122155008,0.500922946949529,-0.691302988229409,0.728973796236674,0.728973796236674,1,,1966-03-01,4.66
,Q2,6,30,6/30/35,100497.481109215,60352.1569109237,0.60053402577659,-0.509935976658377,0.873933947736999,0.873933947737,1,,1966-04-01,4.67
,Q3,9,30,9/30/35,100871.155711011,69237.9981952396,0.686400365963901,-0.376294197644335,0.998891912542713,0.998891912542714,1,,1966-05-01,4.90
,Q4,12,31,12/31/35,101244.830312807,77766.0203674353,0.768098678492212,-0.263837066468224,1.11778430785535,1.11778430785535,1,,1966-06-01,5.17
1936,Q1,3,31,3/31/36,103248.932076802,91566.2832760414,0.886849688749609,-0.120079771292312,1.29059806151035,1.29059806151035,1,,1966-07-01,5.30
,Q2,6,30,6/30/36,105253.033840798,90518.7551362751,0.86001088836252,-0.150810228928081,1.25154059304388,1.25154059304388,1,,1966-08-01,5.53
,Q3,9,30,9/30/36,107257.135604793,98898.9802544054,0.922073666211033,-0.081130160340632,1.34185815395566,1.34185815395566,1,,1966-09-01,5.40
,Q4,12,31,12/31/36,109261.237368788,105122.529790664,0.962120989311565,-0.0386150677094869,1.40013747481227,1.40013747481227,1,,1966-10-01,5.53
1937,Q1,3,31,3/31/37,111948.899871213,109094.88170546,0.974506063310704,-0.0258245380829144,1.41816099412758,1.41816099412758,1,,1966-11-01,5.76
,Q2,6,30,6/30/37,114636.562373637,94319.7318890769,0.82277180976222,-0.195076383139053,1.19734800182615,1.19734800182615,1,,1966-12-01,5.40
,Q3,9,30,9/30/37,117324.224876061,86660.7766781352,0.738643504951189,-0.302939876387697,1.07491933270145,1.07491933270145,1,,1967-01-01,4.94
,Q4,12,31,12/31/37,120011.887378486,66458.0208067536,0.553761983570531,-0.591020317097526,0.805868403181045,0.805868403181046,1,,1967-02-01,5.00
1938,Q1,3,31,3/31/38,119886.900740561,62712.1321217768,0.523094113989049,-0.647993880840453,0.76123863836902,0.76123863836902,1,,1967-03-01,4.53
,Q2,6,30,6/30/38,119761.914102636,62103.8670187528,0.518561075815219,-0.656697464970528,0.754641883187039,0.754641883187039,1,,1967-04-01,4.05
,Q3,9,30,9/30/38,119636.92746471,71471.1496053227,0.597400410725233,-0.51516768567905,0.869373718915694,0.869373718915695,1,,1967-05-01,3.94
,Q4,12,31,12/31/38,119511.940826785,77188.8415737485,0.645867191510365,-0.43716138223248,0.939905550997782,0.939905550997782,1,,1967-06-01,3.98
1939,Q1,3,31,3/31/39,120183.013923529,76038.199218797,0.632686739468684,-0.457779861688599,0.92072454877089,0.920724548770891,1,,1967-07-01,3.79
,Q2,6,30,6/30/39,120854.087020272,70146.6196183091,0.580424058034072,-0.543996308048821,0.844668689244185,0.844668689244185,1,,1967-08-01,3.90
,Q3,9,30,9/30/39,121525.160117016,78370.2828106567,0.644889360649221,-0.438676510777159,0.938482551553923,0.938482551553923,1,,1967-09-01,3.99
,Q4,12,31,12/31/39,122196.233213759,75915.4579771201,0.621258577130774,-0.476007895419885,0.904093585996661,0.904093585996661,1,,1967-10-01,3.88
1940,Q1,3,31,3/31/40,125066.185233891,74353.8363908314,0.594515905732469,-0.520007808402696,0.865176010330684,0.865176010330684,1,,1967-11-01,4.13
,Q2,6,30,6/30/40,127936.137254022,59177.0862468593,0.462551766193792,-0.77099680138751,0.673133700525483,0.673133700525484,1,,1967-12-01,4.51
,Q3,9,30,9/30/40,130806.089274154,65051.9572703324,0.497315970772517,-0.698529698811269,0.72372470327197,0.72372470327197,1,,1968-01-01,4.61
,Q4,12,31,12/31/40,133676.041294286,64439.9915387206,0.482060890753466,-0.729684843546382,0.701524575166234,0.701524575166235,1,,1968-02-01,4.71
1941,Q1,3,31,3/31/41,140029.163118606,62836.0936847987,0.448735765360362,-0.801321060328192,0.653027808715801,0.653027808715801,1,,1968-03-01,5.05
,Q2,6,30,6/30/41,146382.284942927,61636.2084787573,0.421063303546523,-0.864972091884815,0.612757145008951,0.612757145008952,1,,1968-04-01,5.76
,Q3,9,30,9/30/41,152735.406767248,64667.4974203355,0.423395588417044,-0.859448339756902,0.616151229001954,0.616151229001954,1,,1968-05-01,6.12
,Q4,12,31,12/31/41,159088.528591569,55321.0231838027,0.347737348968947,-1.05630782851267,0.506048718500236,0.506048718500235,1,,1968-06-01,6.07
